image_size,nodes,processes,run1_time,run2_time,run3_time
256,1,1,0.005101,0.004047,0.004466
256,1,2,0.003155,0.002795,0.002552
256,1,4,0.001949,0.001892,0.001953
256,4,8,0.001963,0.002087,0.002017
256,4,16,0.001577,0.000936,0.001626
256,4,32,0.000313,0.000442,0.000948
1024,1,1,0.066412,0.066124,0.066044
1024,1,2,0.033626,0.03311,0.033378
1024,1,4,0.030299,0.028736,0.030541
1024,4,8,0.015083,0.015213,0.015402
1024,4,16,0.010523,0.008758,0.008464
1024,4,32,0.004342,0.004108,0.004396
4000,1,1,1.008253,1.007805,1.008168
4000,1,2,0.497224,0.498101,0.497052
4000,1,4,0.436668,0.473657,0.44356
4000,4,8,0.253532,0.232588,0.237806
4000,4,16,0.115976,0.129062,0.128884
4000,4,32,0.062592,0.062791,0.064477
16000,1,1,17.487029,17.64379,17.624232
16000,1,2,9.033514,8.835566,9.390009
16000,1,4,7.571452,7.584002,8.000058
16000,4,8,4.034938,4.182591,4.146993
16000,4,16,2.127233,2.131297,2.12133
16000,4,32,1.060443,1.064325,1.065586
